GCS_META {"release":"2.9.1.0","interval":"filib","lp":"soplex","variables":5,"parse_seconds":0.0028928999999999999}
GCS_SETTINGS {"trial":0,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":0,"status":0,"construct_seconds":0.0028011999999999998,"search_seconds":0.014800900000000001,"cells":20,"height_lower":0.13116013553162012,"height_upper":0.1311701355316201,"witness_box":[[0.13116013553162012,0.13116013553162012],[0.023857867335025366,0.023857867335025366],[0.049505250364739226,0.049505250364739226],[0.024746192741116738,0.024746192741116738],[0.039974618274111667,0.039974618274111667]]}
GCS_SETTINGS {"trial":1,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":1,"status":0,"construct_seconds":0.0021321000000000001,"search_seconds":0.015059599999999999,"cells":20,"height_lower":0.13116013553162012,"height_upper":0.1311701355316201,"witness_box":[[0.13116013553162012,0.13116013553162012],[0.023857867335025366,0.023857867335025366],[0.049505250364739226,0.049505250364739226],[0.024746192741116738,0.024746192741116738],[0.039974618274111667,0.039974618274111667]]}
GCS_SETTINGS {"trial":2,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":2,"status":0,"construct_seconds":0.0019819,"search_seconds":0.014770999999999999,"cells":20,"height_lower":0.13116013553162012,"height_upper":0.1311701355316201,"witness_box":[[0.13116013553162012,0.13116013553162012],[0.023857867335025366,0.023857867335025366],[0.049505250364739226,0.049505250364739226],[0.024746192741116738,0.024746192741116738],[0.039974618274111667,0.039974618274111667]]}
GCS_SETTINGS {"trial":3,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":3,"status":0,"construct_seconds":0.0019345,"search_seconds":0.014177,"cells":20,"height_lower":0.13116013553162012,"height_upper":0.1311701355316201,"witness_box":[[0.13116013553162012,0.13116013553162012],[0.023857867335025366,0.023857867335025366],[0.049505250364739226,0.049505250364739226],[0.024746192741116738,0.024746192741116738],[0.039974618274111667,0.039974618274111667]]}
GCS_SETTINGS {"trial":4,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":4,"status":0,"construct_seconds":0.0022517000000000001,"search_seconds":0.014079299999999999,"cells":20,"height_lower":0.13116013553162012,"height_upper":0.1311701355316201,"witness_box":[[0.13116013553162012,0.13116013553162012],[0.023857867335025366,0.023857867335025366],[0.049505250364739226,0.049505250364739226],[0.024746192741116738,0.024746192741116738],[0.039974618274111667,0.039974618274111667]]}
GCS_SETTINGS {"trial":5,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":5,"status":0,"construct_seconds":0.0022591999999999998,"search_seconds":0.014213,"cells":20,"height_lower":0.13116013553162012,"height_upper":0.1311701355316201,"witness_box":[[0.13116013553162012,0.13116013553162012],[0.023857867335025366,0.023857867335025366],[0.049505250364739226,0.049505250364739226],[0.024746192741116738,0.024746192741116738],[0.039974618274111667,0.039974618274111667]]}
