GCS_META {"release":"2.9.1.0","interval":"filib","lp":"soplex","variables":7,"parse_seconds":0.0068471000000000001}
GCS_SETTINGS {"trial":0,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":0,"status":0,"construct_seconds":0.0108732,"search_seconds":2.3235351999999998,"cells":1230,"height_lower":0.21702959758520646,"height_upper":0.21703959758520644,"witness_box":[[-0.0066433006712663667,-0.0066433006712663667],[-1.0999790043453233,-1.0999790043453233],[-0.0066440953503826604,-0.0066440953503826604],[-1.0699821830617873,-1.0699821830617873],[1,1],[0.56594080482958709,0.56594080482958709],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":1,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":1,"status":0,"construct_seconds":0.0149514,"search_seconds":2.2610215,"cells":1230,"height_lower":0.21702959758520646,"height_upper":0.21703959758520644,"witness_box":[[-0.0066433006712663667,-0.0066433006712663667],[-1.0999790043453233,-1.0999790043453233],[-0.0066440953503826604,-0.0066440953503826604],[-1.0699821830617873,-1.0699821830617873],[1,1],[0.56594080482958709,0.56594080482958709],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":2,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":2,"status":0,"construct_seconds":0.0103392,"search_seconds":2.2747858000000001,"cells":1230,"height_lower":0.21702959758520646,"height_upper":0.21703959758520644,"witness_box":[[-0.0066433006712663667,-0.0066433006712663667],[-1.0999790043453233,-1.0999790043453233],[-0.0066440953503826604,-0.0066440953503826604],[-1.0699821830617873,-1.0699821830617873],[1,1],[0.56594080482958709,0.56594080482958709],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":3,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":3,"status":0,"construct_seconds":0.0099853000000000008,"search_seconds":2.2606746000000002,"cells":1230,"height_lower":0.21702959758520646,"height_upper":0.21703959758520644,"witness_box":[[-0.0066433006712663667,-0.0066433006712663667],[-1.0999790043453233,-1.0999790043453233],[-0.0066440953503826604,-0.0066440953503826604],[-1.0699821830617873,-1.0699821830617873],[1,1],[0.56594080482958709,0.56594080482958709],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":4,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":4,"status":0,"construct_seconds":0.0098168999999999999,"search_seconds":2.2370793999999998,"cells":1230,"height_lower":0.21702959758520646,"height_upper":0.21703959758520644,"witness_box":[[-0.0066433006712663667,-0.0066433006712663667],[-1.0999790043453233,-1.0999790043453233],[-0.0066440953503826604,-0.0066440953503826604],[-1.0699821830617873,-1.0699821830617873],[1,1],[0.56594080482958709,0.56594080482958709],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":5,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":5,"status":0,"construct_seconds":0.0091052000000000008,"search_seconds":2.3471529000000002,"cells":1230,"height_lower":0.21702959758520646,"height_upper":0.21703959758520644,"witness_box":[[-0.0066433006712663667,-0.0066433006712663667],[-1.0999790043453233,-1.0999790043453233],[-0.0066440953503826604,-0.0066440953503826604],[-1.0699821830617873,-1.0699821830617873],[1,1],[0.56594080482958709,0.56594080482958709],[-0.025000000000000001,-0.025000000000000001]]}
