GCS_META {"release":"2.9.1.0","interval":"filib","lp":"soplex","variables":7,"parse_seconds":0.0073057}
GCS_SETTINGS {"trial":0,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":0,"status":0,"construct_seconds":0.012996199999999999,"search_seconds":0.68164829999999998,"cells":414,"height_lower":0.20840109594066514,"height_upper":0.20840333175933226,"witness_box":[[-0.89864573802534098,-0.89864573802534098],[-0.63437830702327069,-0.63437830702327069],[-0.77436002855618147,-0.77436002855618147],[-0.54723545228869097,-0.54723545228869097],[0.99999999344271029,0.99999999344271029],[0.58319780156138001,0.58319780156138001],[-0.050000000000000003,-0.050000000000000003]]}
GCS_SETTINGS {"trial":1,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":1,"status":0,"construct_seconds":0.0069404000000000002,"search_seconds":0.70129359999999996,"cells":414,"height_lower":0.20840109594066514,"height_upper":0.20840333175933226,"witness_box":[[-0.89864573802534098,-0.89864573802534098],[-0.63437830702327069,-0.63437830702327069],[-0.77436002855618147,-0.77436002855618147],[-0.54723545228869097,-0.54723545228869097],[0.99999999344271029,0.99999999344271029],[0.58319780156138001,0.58319780156138001],[-0.050000000000000003,-0.050000000000000003]]}
GCS_SETTINGS {"trial":2,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":2,"status":0,"construct_seconds":0.0071528,"search_seconds":0.70003590000000004,"cells":414,"height_lower":0.20840109594066514,"height_upper":0.20840333175933226,"witness_box":[[-0.89864573802534098,-0.89864573802534098],[-0.63437830702327069,-0.63437830702327069],[-0.77436002855618147,-0.77436002855618147],[-0.54723545228869097,-0.54723545228869097],[0.99999999344271029,0.99999999344271029],[0.58319780156138001,0.58319780156138001],[-0.050000000000000003,-0.050000000000000003]]}
GCS_SETTINGS {"trial":3,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":3,"status":0,"construct_seconds":0.0071552999999999999,"search_seconds":0.733016,"cells":414,"height_lower":0.20840109594066514,"height_upper":0.20840333175933226,"witness_box":[[-0.89864573802534098,-0.89864573802534098],[-0.63437830702327069,-0.63437830702327069],[-0.77436002855618147,-0.77436002855618147],[-0.54723545228869097,-0.54723545228869097],[0.99999999344271029,0.99999999344271029],[0.58319780156138001,0.58319780156138001],[-0.050000000000000003,-0.050000000000000003]]}
GCS_SETTINGS {"trial":4,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":4,"status":0,"construct_seconds":0.0063445999999999997,"search_seconds":0.72567110000000001,"cells":414,"height_lower":0.20840109594066514,"height_upper":0.20840333175933226,"witness_box":[[-0.89864573802534098,-0.89864573802534098],[-0.63437830702327069,-0.63437830702327069],[-0.77436002855618147,-0.77436002855618147],[-0.54723545228869097,-0.54723545228869097],[0.99999999344271029,0.99999999344271029],[0.58319780156138001,0.58319780156138001],[-0.050000000000000003,-0.050000000000000003]]}
GCS_SETTINGS {"trial":5,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":5,"status":0,"construct_seconds":0.0075744000000000002,"search_seconds":0.78411759999999997,"cells":414,"height_lower":0.20840109594066514,"height_upper":0.20840333175933226,"witness_box":[[-0.89864573802534098,-0.89864573802534098],[-0.63437830702327069,-0.63437830702327069],[-0.77436002855618147,-0.77436002855618147],[-0.54723545228869097,-0.54723545228869097],[0.99999999344271029,0.99999999344271029],[0.58319780156138001,0.58319780156138001],[-0.050000000000000003,-0.050000000000000003]]}
