GCS_META {"release":"2.9.1.0","interval":"filib","lp":"soplex","variables":5,"parse_seconds":0.0032458000000000001}
GCS_SETTINGS {"trial":0,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":0,"status":0,"construct_seconds":0.0035268999999999999,"search_seconds":0.0116253,"cells":12,"height_lower":0.20840077950214758,"height_upper":0.20841077950214756,"witness_box":[[0.20840077950214758,0.20840077950214758],[0.12410713814285707,0.12410713814285707],[0.077724527648764266,0.077724527648764266],[0.062142854857142812,0.062142854857142812],[0.04357142742857141,0.04357142742857141]]}
GCS_SETTINGS {"trial":1,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":1,"status":0,"construct_seconds":0.0024540999999999999,"search_seconds":0.011284300000000001,"cells":12,"height_lower":0.20840077950214758,"height_upper":0.20841077950214756,"witness_box":[[0.20840077950214758,0.20840077950214758],[0.12410713814285707,0.12410713814285707],[0.077724527648764266,0.077724527648764266],[0.062142854857142812,0.062142854857142812],[0.04357142742857141,0.04357142742857141]]}
GCS_SETTINGS {"trial":2,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":2,"status":0,"construct_seconds":0.0022157000000000001,"search_seconds":0.012049600000000001,"cells":12,"height_lower":0.20840077950214758,"height_upper":0.20841077950214756,"witness_box":[[0.20840077950214758,0.20840077950214758],[0.12410713814285707,0.12410713814285707],[0.077724527648764266,0.077724527648764266],[0.062142854857142812,0.062142854857142812],[0.04357142742857141,0.04357142742857141]]}
GCS_SETTINGS {"trial":3,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":3,"status":0,"construct_seconds":0.001993,"search_seconds":0.0124511,"cells":12,"height_lower":0.20840077950214758,"height_upper":0.20841077950214756,"witness_box":[[0.20840077950214758,0.20840077950214758],[0.12410713814285707,0.12410713814285707],[0.077724527648764266,0.077724527648764266],[0.062142854857142812,0.062142854857142812],[0.04357142742857141,0.04357142742857141]]}
GCS_SETTINGS {"trial":4,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":4,"status":0,"construct_seconds":0.0020100999999999999,"search_seconds":0.012720499999999999,"cells":12,"height_lower":0.20840077950214758,"height_upper":0.20841077950214756,"witness_box":[[0.20840077950214758,0.20840077950214758],[0.12410713814285707,0.12410713814285707],[0.077724527648764266,0.077724527648764266],[0.062142854857142812,0.062142854857142812],[0.04357142742857141,0.04357142742857141]]}
GCS_SETTINGS {"trial":5,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":5,"status":0,"construct_seconds":0.0020037000000000002,"search_seconds":0.0122074,"cells":12,"height_lower":0.20840077950214758,"height_upper":0.20841077950214756,"witness_box":[[0.20840077950214758,0.20840077950214758],[0.12410713814285707,0.12410713814285707],[0.077724527648764266,0.077724527648764266],[0.062142854857142812,0.062142854857142812],[0.04357142742857141,0.04357142742857141]]}
