GCS_META {"release":"2.9.1.0","interval":"filib","lp":"soplex","variables":5,"parse_seconds":0.0033695999999999999}
GCS_SETTINGS {"trial":0,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":0,"status":0,"construct_seconds":0.0030631,"search_seconds":0.0140182,"cells":12,"height_lower":0.13928582208236681,"height_upper":0.1392925703774496,"witness_box":[[0.13928582208236681,0.13928582208236681],[0.021162973911392404,0.021162973911392404],[0.037523389404767724,0.037523389404767724],[0.0015822779746835387,0.0015822779746835387],[0.035205694936708845,0.035205694936708845]]}
GCS_SETTINGS {"trial":1,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":1,"status":0,"construct_seconds":0.0024719999999999998,"search_seconds":0.013638000000000001,"cells":12,"height_lower":0.13928582208236681,"height_upper":0.1392925703774496,"witness_box":[[0.13928582208236681,0.13928582208236681],[0.021162973911392404,0.021162973911392404],[0.037523389404767724,0.037523389404767724],[0.0015822779746835387,0.0015822779746835387],[0.035205694936708845,0.035205694936708845]]}
GCS_SETTINGS {"trial":2,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":2,"status":0,"construct_seconds":0.0019505,"search_seconds":0.0131761,"cells":12,"height_lower":0.13928582208236681,"height_upper":0.1392925703774496,"witness_box":[[0.13928582208236681,0.13928582208236681],[0.021162973911392404,0.021162973911392404],[0.037523389404767724,0.037523389404767724],[0.0015822779746835387,0.0015822779746835387],[0.035205694936708845,0.035205694936708845]]}
GCS_SETTINGS {"trial":3,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":3,"status":0,"construct_seconds":0.0022346000000000002,"search_seconds":0.012740700000000001,"cells":12,"height_lower":0.13928582208236681,"height_upper":0.1392925703774496,"witness_box":[[0.13928582208236681,0.13928582208236681],[0.021162973911392404,0.021162973911392404],[0.037523389404767724,0.037523389404767724],[0.0015822779746835387,0.0015822779746835387],[0.035205694936708845,0.035205694936708845]]}
GCS_SETTINGS {"trial":4,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":4,"status":0,"construct_seconds":0.0019090000000000001,"search_seconds":0.013044999999999999,"cells":12,"height_lower":0.13928582208236681,"height_upper":0.1392925703774496,"witness_box":[[0.13928582208236681,0.13928582208236681],[0.021162973911392404,0.021162973911392404],[0.037523389404767724,0.037523389404767724],[0.0015822779746835387,0.0015822779746835387],[0.035205694936708845,0.035205694936708845]]}
GCS_SETTINGS {"trial":5,"inhc4_requested":1,"inhc4_effective":1,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":5,"status":0,"construct_seconds":0.0019426000000000001,"search_seconds":0.0129438,"cells":12,"height_lower":0.13928582208236681,"height_upper":0.1392925703774496,"witness_box":[[0.13928582208236681,0.13928582208236681],[0.021162973911392404,0.021162973911392404],[0.037523389404767724,0.037523389404767724],[0.0015822779746835387,0.0015822779746835387],[0.035205694936708845,0.035205694936708845]]}
