GCS_META {"release":"2.9.1.0","interval":"filib","lp":"soplex","variables":7,"parse_seconds":0.0062345999999999999}
GCS_SETTINGS {"trial":0,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":0,"status":0,"construct_seconds":0.0096234000000000007,"search_seconds":0.41167569999999998,"cells":250,"height_lower":0.2697371220683496,"height_upper":0.26974712206834955,"witness_box":[[0.0090728885297310536,0.0090728885297310536],[-1.0999625803385407,-1.0999625803385407],[-0.0034271114702691396,-0.0034271114702691396],[0.89999347588484124,0.89999347588484124],[0.99999864941180672,0.99999864941180672],[0.46052440527510752,0.46052440527510752],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":1,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":1,"status":0,"construct_seconds":0.016441999999999998,"search_seconds":0.4369709,"cells":250,"height_lower":0.2697371220683496,"height_upper":0.26974712206834955,"witness_box":[[0.0090728885297310536,0.0090728885297310536],[-1.0999625803385407,-1.0999625803385407],[-0.0034271114702691396,-0.0034271114702691396],[0.89999347588484124,0.89999347588484124],[0.99999864941180672,0.99999864941180672],[0.46052440527510752,0.46052440527510752],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":2,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":2,"status":0,"construct_seconds":0.0120391,"search_seconds":0.55103120000000005,"cells":250,"height_lower":0.2697371220683496,"height_upper":0.26974712206834955,"witness_box":[[0.0090728885297310536,0.0090728885297310536],[-1.0999625803385407,-1.0999625803385407],[-0.0034271114702691396,-0.0034271114702691396],[0.89999347588484124,0.89999347588484124],[0.99999864941180672,0.99999864941180672],[0.46052440527510752,0.46052440527510752],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":3,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":3,"status":0,"construct_seconds":0.011721000000000001,"search_seconds":0.43584450000000002,"cells":250,"height_lower":0.2697371220683496,"height_upper":0.26974712206834955,"witness_box":[[0.0090728885297310536,0.0090728885297310536],[-1.0999625803385407,-1.0999625803385407],[-0.0034271114702691396,-0.0034271114702691396],[0.89999347588484124,0.89999347588484124],[0.99999864941180672,0.99999864941180672],[0.46052440527510752,0.46052440527510752],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":4,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":4,"status":0,"construct_seconds":0.010337900000000001,"search_seconds":0.4053253,"cells":250,"height_lower":0.2697371220683496,"height_upper":0.26974712206834955,"witness_box":[[0.0090728885297310536,0.0090728885297310536],[-1.0999625803385407,-1.0999625803385407],[-0.0034271114702691396,-0.0034271114702691396],[0.89999347588484124,0.89999347588484124],[0.99999864941180672,0.99999864941180672],[0.46052440527510752,0.46052440527510752],[-0.025000000000000001,-0.025000000000000001]]}
GCS_SETTINGS {"trial":5,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":5,"status":0,"construct_seconds":0.0097246999999999993,"search_seconds":0.412327,"cells":250,"height_lower":0.2697371220683496,"height_upper":0.26974712206834955,"witness_box":[[0.0090728885297310536,0.0090728885297310536],[-1.0999625803385407,-1.0999625803385407],[-0.0034271114702691396,-0.0034271114702691396],[0.89999347588484124,0.89999347588484124],[0.99999864941180672,0.99999864941180672],[0.46052440527510752,0.46052440527510752],[-0.025000000000000001,-0.025000000000000001]]}
