GCS_META {"release":"2.9.1.0","interval":"filib","lp":"soplex","variables":5,"parse_seconds":0.0028157}
GCS_SETTINGS {"trial":0,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":0,"status":0,"construct_seconds":0.0027215999999999998,"search_seconds":0.0056927999999999996,"cells":6,"height_lower":0.26973731880397123,"height_upper":0.26974731880397118,"witness_box":[[0.26973731880397123,0.26973731880397123],[0.21749554893898093,0.21749554893898093],[0.10000000000000001,0.10000000000000001],[-0.0062499999999999917,-0.0062499999999999917],[0.99997774969490505,0.99997774969490505]]}
GCS_SETTINGS {"trial":1,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":1,"status":0,"construct_seconds":0.0037686999999999998,"search_seconds":0.0057948000000000001,"cells":6,"height_lower":0.26973731880397123,"height_upper":0.26974731880397118,"witness_box":[[0.26973731880397123,0.26973731880397123],[0.21749554893898093,0.21749554893898093],[0.10000000000000001,0.10000000000000001],[-0.0062499999999999917,-0.0062499999999999917],[0.99997774969490505,0.99997774969490505]]}
GCS_SETTINGS {"trial":2,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":2,"status":0,"construct_seconds":0.0032761000000000001,"search_seconds":0.0058627000000000002,"cells":6,"height_lower":0.26973731880397123,"height_upper":0.26974731880397118,"witness_box":[[0.26973731880397123,0.26973731880397123],[0.21749554893898093,0.21749554893898093],[0.10000000000000001,0.10000000000000001],[-0.0062499999999999917,-0.0062499999999999917],[0.99997774969490505,0.99997774969490505]]}
GCS_SETTINGS {"trial":3,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":3,"status":0,"construct_seconds":0.0028398,"search_seconds":0.0057730000000000004,"cells":6,"height_lower":0.26973731880397123,"height_upper":0.26974731880397118,"witness_box":[[0.26973731880397123,0.26973731880397123],[0.21749554893898093,0.21749554893898093],[0.10000000000000001,0.10000000000000001],[-0.0062499999999999917,-0.0062499999999999917],[0.99997774969490505,0.99997774969490505]]}
GCS_SETTINGS {"trial":4,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":4,"status":0,"construct_seconds":0.0030534,"search_seconds":0.0052880000000000002,"cells":6,"height_lower":0.26973731880397123,"height_upper":0.26974731880397118,"witness_box":[[0.26973731880397123,0.26973731880397123],[0.21749554893898093,0.21749554893898093],[0.10000000000000001,0.10000000000000001],[-0.0062499999999999917,-0.0062499999999999917],[0.99997774969490505,0.99997774969490505]]}
GCS_SETTINGS {"trial":5,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":5,"status":0,"construct_seconds":0.0025790000000000001,"search_seconds":0.0054814,"cells":6,"height_lower":0.26973731880397123,"height_upper":0.26974731880397118,"witness_box":[[0.26973731880397123,0.26973731880397123],[0.21749554893898093,0.21749554893898093],[0.10000000000000001,0.10000000000000001],[-0.0062499999999999917,-0.0062499999999999917],[0.99997774969490505,0.99997774969490505]]}
