GCS_META {"release":"2.9.1.0","interval":"filib","lp":"soplex","variables":6,"parse_seconds":0.0065313999999999997}
GCS_SETTINGS {"trial":0,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":0,"status":0,"construct_seconds":0.0094137000000000005,"search_seconds":1.7974616999999999,"cells":1204,"height_lower":0.10377404454924649,"height_upper":0.10378404454924647,"witness_box":[[0.66062802657376063,0.66062802657376063],[-0.87952862915113972,-0.87952862915113972],[0.60867463586857262,0.60867463586857262],[-0.80973287011292927,-0.80973287011292927],[0.99995486815317902,0.99995486815317902],[0.79240677905468604,0.79240677905468604]]}
GCS_SETTINGS {"trial":1,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":1,"status":0,"construct_seconds":0.013259399999999999,"search_seconds":1.6022308000000001,"cells":1204,"height_lower":0.10377404454924649,"height_upper":0.10378404454924647,"witness_box":[[0.66062802657376063,0.66062802657376063],[-0.87952862915113972,-0.87952862915113972],[0.60867463586857262,0.60867463586857262],[-0.80973287011292927,-0.80973287011292927],[0.99995486815317902,0.99995486815317902],[0.79240677905468604,0.79240677905468604]]}
GCS_SETTINGS {"trial":2,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":2,"status":0,"construct_seconds":0.0083791000000000004,"search_seconds":1.6535579,"cells":1204,"height_lower":0.10377404454924649,"height_upper":0.10378404454924647,"witness_box":[[0.66062802657376063,0.66062802657376063],[-0.87952862915113972,-0.87952862915113972],[0.60867463586857262,0.60867463586857262],[-0.80973287011292927,-0.80973287011292927],[0.99995486815317902,0.99995486815317902],[0.79240677905468604,0.79240677905468604]]}
GCS_SETTINGS {"trial":3,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":3,"status":0,"construct_seconds":0.0082717999999999993,"search_seconds":1.6853693000000001,"cells":1204,"height_lower":0.10377404454924649,"height_upper":0.10378404454924647,"witness_box":[[0.66062802657376063,0.66062802657376063],[-0.87952862915113972,-0.87952862915113972],[0.60867463586857262,0.60867463586857262],[-0.80973287011292927,-0.80973287011292927],[0.99995486815317902,0.99995486815317902],[0.79240677905468604,0.79240677905468604]]}
GCS_SETTINGS {"trial":4,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":4,"status":0,"construct_seconds":0.0080689000000000004,"search_seconds":1.6627707,"cells":1204,"height_lower":0.10377404454924649,"height_upper":0.10378404454924647,"witness_box":[[0.66062802657376063,0.66062802657376063],[-0.87952862915113972,-0.87952862915113972],[0.60867463586857262,0.60867463586857262],[-0.80973287011292927,-0.80973287011292927],[0.99995486815317902,0.99995486815317902],[0.79240677905468604,0.79240677905468604]]}
GCS_SETTINGS {"trial":5,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":5,"status":0,"construct_seconds":0.0093790999999999996,"search_seconds":1.6358131,"cells":1204,"height_lower":0.10377404454924649,"height_upper":0.10378404454924647,"witness_box":[[0.66062802657376063,0.66062802657376063],[-0.87952862915113972,-0.87952862915113972],[0.60867463586857262,0.60867463586857262],[-0.80973287011292927,-0.80973287011292927],[0.99995486815317902,0.99995486815317902],[0.79240677905468604,0.79240677905468604]]}
