"entry_id","layout","role","heuristic_search_ms","ibex_search_ms","accuracy_target_met","ibex_success"
"holdout_01","skew","repeated_holdout","1.4324","10.7551","True","True"
"holdout_02","shifted","repeated_holdout","2.1576","9.9904","True","True"
"holdout_03","slender","repeated_holdout","2.1259","5.004","True","True"
"holdout_04","filled_skew","repeated_holdout","1.4315","12.5882","True","True"
"holdout_05","near_height_endpoint","repeated_holdout","3.1847999999999996","11.2867","True","True"
"holdout_06","wide_unequal","repeated_holdout","1.2143","9.1553","True","True"
"probe_01","skew","selection","1.4198","9.9196","True","True"
"probe_02","shifted","selection","1.9204","9.4418","True","True"
"probe_03","slender","selection","2.354","5.2928999999999995","True","True"
"probe_04","filled_skew","selection","1.4077","12.605599999999999","True","True"
"probe_05","near_height_endpoint","selection","3.2085999999999997","11.337200000000001","True","True"
"probe_06","wide_unequal","selection","1.1844","10.0671","True","True"
"probe_07","random_01","selection","1.2972000000000001","8.6972","True","True"
"probe_08","random_02","selection","1.4434","3.1","True","True"
"probe_09","random_03","selection","1.5929","8.2838","True","True"
"probe_10","random_04","selection","5.2734000000000005","5.856199999999999","True","True"
"probe_11","random_05","selection","1.5460999999999998","2.7883999999999998","True","True"
"probe_12","random_06","selection","0.6164000000000001","21.3222","True","True"
"probe_13","random_07","selection","1.7715","9.6728","True","True"
"probe_14","random_08","selection","1.3732","10.829099999999999","True","True"
"probe_15","random_09","selection","2.1621","5.2189000000000005","True","True"
"probe_16","random_10","selection","1.9941999999999998","2.5603000000000002","True","True"
"probe_17","random_11","selection","1.4809999999999999","10.444500000000001","True","True"
"probe_18","random_12","selection","1.6097","11.334","True","True"
"probe_19","random_13","selection","1.9856","3.316","True","True"
"probe_20","random_14","selection","1.1994","4.0717","True","True"
"probe_21","random_15","selection","1.3387","10.4043","True","True"
"probe_22","random_16","selection","1.2802","10.757900000000001","True","True"
"probe_23","random_17","selection","2.0646","8.7966","True","True"
"probe_24","random_18","selection","1.4806000000000001","6.7678","True","True"
"probe_25","random_19","selection","1.5828","4.6648000000000005","True","True"
"probe_26","random_20","selection","1.5083","17.9172","True","True"
